# Price Alert Watchlist
EYE,29.55,above,breakout above level
AMSC,34.65,above,breakout above level
FLY,32.90,above,breakout below level
MDU,21.35,above,breakout above level
WEAT,23.75,above,breakout
XLU,47.76,above,breakout
XLE,62.00,above,test
XLE,62.50,below,testing
LIN,509.85,above,breakout
EVLV,6.20,above,trend break
CPER,34.20,above,higher low
CORN,18.86,above,breakout
GEVO,2.62,below,break retest
XBI,132.00,above,breakout
XLI,169.79,above,breakout
XLB,50.99,above,breakout
SMH,400.00,above,breakout
FIX,1500.00,above,breakout
POWL,200.00,above,breakout
